"timestamp","azimuth","elevation","timestamp_float"
"2024-03-26T02:19:22.000000+00:00","116.356","20.522","1711419562.0"
"2024-03-26T02:19:23.000000+00:00","116.356","20.522","1711419563.0"
"2024-03-26T02:19:24.000000+00:00","116.358","20.522","1711419564.0"
"2024-03-26T02:19:25.000000+00:00","116.373","20.522","1711419565.0"
"2024-03-26T02:19:26.000000+00:00","116.374","20.522","1711419566.0"
"2024-03-26T02:19:27.000000+00:00","116.373","20.522","1711419567.0"
"2024-03-26T02:19:28.000000+00:00","116.354","20.522","1711419568.0"
"2024-03-26T02:19:29.000000+00:00","116.354","20.522","1711419569.0"
"2024-03-26T02:19:30.000000+00:00","116.355","20.522","1711419570.0"
"2024-03-26T02:19:31.000000+00:00","116.374","20.522","1711419571.0"
"2024-03-26T02:19:32.000000+00:00","116.373","20.522","1711419572.0"
"2024-03-26T02:19:33.000000+00:00","116.373","20.522","1711419573.0"
"2024-03-26T02:19:34.000000+00:00","116.362","20.522","1711419574.0"
"2024-03-26T02:19:35.000000+00:00","116.354","20.522","1711419575.0"
"2024-03-26T02:19:36.000000+00:00","116.354","20.522","1711419576.0"
"2024-03-26T02:19:37.000000+00:00","116.374","20.522","1711419577.0"
"2024-03-26T02:19:38.000000+00:00","116.374","20.522","1711419578.0"
"2024-03-26T02:19:39.000000+00:00","116.374","20.522","1711419579.0"
"2024-03-26T02:19:40.000000+00:00","116.351","20.522","1711419580.0"
"2024-03-26T02:19:41.000000+00:00","116.35","20.522","1711419581.0"
"2024-03-26T02:19:42.000000+00:00","116.375","20.523","1711419582.0"
"2024-03-26T02:19:43.000000+00:00","116.375","20.522","1711419583.0"
"2024-03-26T02:19:44.000000+00:00","116.375","20.522","1711419584.0"
"2024-03-26T02:19:45.000000+00:00","116.354","20.522","1711419585.0"
"2024-03-26T02:19:46.000000+00:00","116.352","20.522","1711419586.0"
"2024-03-26T02:19:47.000000+00:00","116.352","20.522","1711419587.0"
"2024-03-26T02:19:48.000000+00:00","116.374","20.522","1711419588.0"
"2024-03-26T02:19:49.000000+00:00","116.374","20.522","1711419589.0"
"2024-03-26T02:19:50.000000+00:00","116.374","20.522","1711419590.0"
"2024-03-26T02:19:51.000000+00:00","116.351","20.522","1711419591.0"
"2024-03-26T02:19:52.000000+00:00","116.351","20.522","1711419592.0"
"2024-03-26T02:19:53.000000+00:00","116.375","20.522","1711419593.0"
"2024-03-26T02:19:54.000000+00:00","116.375","20.522","1711419594.0"
"2024-03-26T02:19:55.000000+00:00","116.376","20.522","1711419595.0"
"2024-03-26T02:19:56.000000+00:00","116.353","20.522","1711419596.0"
"2024-03-26T02:19:57.000000+00:00","116.353","20.522","1711419597.0"
"2024-03-26T02:19:58.000000+00:00","116.353","20.522","1711419598.0"
"2024-03-26T02:19:59.000000+00:00","116.373","20.522","1711419599.0"
"2024-03-26T02:20:00.000000+00:00","116.374","20.522","1711419600.0"
"2024-03-26T02:20:01.000000+00:00","116.373","20.522","1711419601.0"
"2024-03-26T02:20:02.000000+00:00","116.35","20.522","1711419602.0"
"2024-03-26T02:20:03.000000+00:00","116.348","20.522","1711419603.0"
"2024-03-26T02:20:04.000000+00:00","116.376","20.522","1711419604.0"
"2024-03-26T02:20:05.000000+00:00","116.376","20.522","1711419605.0"
"2024-03-26T02:20:06.000000+00:00","116.375","20.522","1711419606.0"
"2024-03-26T02:20:07.000000+00:00","116.352","20.522","1711419607.0"
"2024-03-26T02:20:08.000000+00:00","116.351","20.522","1711419608.0"
"2024-03-26T02:20:09.000000+00:00","116.376","20.522","1711419609.0"
"2024-03-26T02:20:10.000000+00:00","116.374","20.522","1711419610.0"
"2024-03-26T02:20:11.000000+00:00","116.374","20.522","1711419611.0"
"2024-03-26T02:20:12.000000+00:00","116.365","20.522","1711419612.0"
"2024-03-26T02:20:13.000000+00:00","116.35","20.522","1711419613.0"
"2024-03-26T02:20:14.000000+00:00","116.352","20.522","1711419614.0"
"2024-03-26T02:20:15.000000+00:00","116.376","20.522","1711419615.0"
"2024-03-26T02:20:16.000000+00:00","116.375","20.522","1711419616.0"
"2024-03-26T02:20:17.000000+00:00","116.353","20.522","1711419617.0"
"2024-03-26T02:20:18.000000+00:00","116.352","20.522","1711419618.0"
"2024-03-26T02:20:19.000000+00:00","116.352","20.522","1711419619.0"
"2024-03-26T02:20:20.000000+00:00","116.375","20.522","1711419620.0"
"2024-03-26T02:20:21.000000+00:00","116.375","20.522","1711419621.0"
"2024-03-26T02:20:22.000000+00:00","116.375","20.522","1711419622.0"
"2024-03-26T02:20:23.000000+00:00","116.353","20.522","1711419623.0"
"2024-03-26T02:20:25.000000+00:00","116.353","20.522","1711419625.0"
"2024-03-26T02:20:26.000000+00:00","116.365","20.522","1711419626.0"
"2024-03-26T02:20:27.000000+00:00","116.377","20.522","1711419627.0"
"2024-03-26T02:20:28.000000+00:00","116.377","20.522","1711419628.0"
"2024-03-26T02:20:29.000000+00:00","116.354","20.522","1711419629.0"
"2024-03-26T02:20:30.000000+00:00","116.354","20.522","1711419630.0"
"2024-03-26T02:20:31.000000+00:00","116.353","20.522","1711419631.0"
"2024-03-26T02:20:32.000000+00:00","116.375","20.522","1711419632.0"
"2024-03-26T02:20:33.000000+00:00","116.375","20.522","1711419633.0"
"2024-03-26T02:20:34.000000+00:00","116.369","20.523","1711419634.0"
"2024-03-26T02:20:35.000000+00:00","116.355","20.522","1711419635.0"
"2024-03-26T02:20:36.000000+00:00","116.354","20.522","1711419636.0"
"2024-03-26T02:20:37.000000+00:00","116.358","20.522","1711419637.0"
"2024-03-26T02:20:38.000000+00:00","116.374","20.522","1711419638.0"
"2024-03-26T02:20:39.000000+00:00","116.376","20.522","1711419639.0"
"2024-03-26T02:20:40.000000+00:00","116.354","20.522","1711419640.0"
"2024-03-26T02:20:41.000000+00:00","116.351","20.522","1711419641.0"
"2024-03-26T02:20:42.000000+00:00","116.353","20.522","1711419642.0"
"2024-03-26T02:20:43.000000+00:00","116.375","20.523","1711419643.0"
"2024-03-26T02:20:44.000000+00:00","116.376","20.522","1711419644.0"
"2024-03-26T02:20:45.000000+00:00","116.374","20.522","1711419645.0"
"2024-03-26T02:20:46.000000+00:00","116.349","20.522","1711419646.0"
"2024-03-26T02:20:47.000000+00:00","116.349","20.522","1711419647.0"
"2024-03-26T02:20:48.000000+00:00","116.375","20.522","1711419648.0"
"2024-03-26T02:20:49.000000+00:00","116.374","20.522","1711419649.0"
"2024-03-26T02:20:50.000000+00:00","116.373","20.522","1711419650.0"
"2024-03-26T02:20:51.000000+00:00","116.355","20.523","1711419651.0"
"2024-03-26T02:20:52.000000+00:00","116.355","20.522","1711419652.0"
"2024-03-26T02:20:53.000000+00:00","116.355","20.522","1711419653.0"
"2024-03-26T02:20:54.000000+00:00","116.374","20.522","1711419654.0"
"2024-03-26T02:20:55.000000+00:00","116.374","20.522","1711419655.0"
"2024-03-26T02:20:56.000000+00:00","116.374","20.522","1711419656.0"
"2024-03-26T02:20:57.000000+00:00","116.37","20.522","1711419657.0"
"2024-03-26T02:20:58.000000+00:00","116.354","20.522","1711419658.0"
"2024-03-26T02:20:59.000000+00:00","116.352","20.522","1711419659.0"
"2024-03-26T02:21:00.000000+00:00","116.374","20.523","1711419660.0"
"2024-03-26T02:21:01.000000+00:00","116.373","20.522","1711419661.0"
"2024-03-26T02:21:02.000000+00:00","116.373","20.522","1711419662.0"
"2024-03-26T02:21:03.000000+00:00","116.356","20.522","1711419663.0"
"2024-03-26T02:21:04.000000+00:00","116.355","20.522","1711419664.0"
"2024-03-26T02:21:05.000000+00:00","116.355","20.522","1711419665.0"
"2024-03-26T02:21:06.000000+00:00","116.37","20.521","1711419666.0"
"2024-03-26T02:21:07.000000+00:00","116.374","20.522","1711419667.0"
"2024-03-26T02:21:08.000000+00:00","116.374","20.522","1711419668.0"
"2024-03-26T02:21:09.000000+00:00","116.351","20.522","1711419669.0"
"2024-03-26T02:21:10.000000+00:00","116.351","20.522","1711419670.0"
"2024-03-26T02:21:11.000000+00:00","116.351","20.522","1711419671.0"
"2024-03-26T02:21:12.000000+00:00","116.377","20.523","1711419672.0"
"2024-03-26T02:21:13.000000+00:00","116.378","20.522","1711419673.0"
"2024-03-26T02:21:14.000000+00:00","116.349","20.522","1711419674.0"
"2024-03-26T02:21:15.000000+00:00","116.348","20.522","1711419675.0"
"2024-03-26T02:21:16.000000+00:00","116.38","20.523","1711419676.0"
"2024-03-26T02:21:17.000000+00:00","116.38","20.522","1711419677.0"
"2024-03-26T02:21:18.000000+00:00","116.352","20.522","1711419678.0"
"2024-03-26T02:21:19.000000+00:00","116.351","20.522","1711419679.0"
"2024-03-26T02:21:20.000000+00:00","116.366","20.522","1711419680.0"
"2024-03-26T02:21:21.000000+00:00","116.377","20.522","1711419681.0"
