"timestamp","actual_azimuth","actual_elevation","commanded_azimuth","commanded_elevation"
"2024-03-26T02:16:42.000000+00:00","116.375","20.522","116.364","20.522"
"2024-03-26T02:16:43.000000+00:00","116.375","20.522","116.364","20.522"
"2024-03-26T02:16:44.000000+00:00","116.355","20.522","116.364","20.522"
"2024-03-26T02:16:45.000000+00:00","116.354","20.522","116.364","20.522"
"2024-03-26T02:16:46.000000+00:00","116.355","20.522","116.364","20.522"
"2024-03-26T02:16:48.000000+00:00","116.373","20.521","116.364","20.522"
"2024-03-26T02:16:49.000000+00:00","116.373","20.522","116.364","20.522"
"2024-03-26T02:16:50.000000+00:00","116.372","20.522","116.364","20.522"
"2024-03-26T02:16:51.000000+00:00","116.353","20.522","116.364","20.522"
"2024-03-26T02:16:52.000000+00:00","116.353","20.522","116.364","20.522"
"2024-03-26T02:16:53.000000+00:00","116.353","20.522","116.364","20.522"
"2024-03-26T02:16:54.000000+00:00","116.373","20.522","116.364","20.522"
"2024-03-26T02:16:55.000000+00:00","116.365","20.522","116.364","20.522"
"2024-03-26T02:16:56.000000+00:00","116.36","20.522","116.364","20.522"
"2024-03-26T02:16:57.000000+00:00","116.367","20.522","116.364","20.522"
"2024-03-26T02:16:58.000000+00:00","116.368","20.522","116.364","20.522"
"2024-03-26T02:16:59.000000+00:00","116.358","20.522","116.364","20.522"
"2024-03-26T02:17:00.000000+00:00","116.367","20.522","116.364","20.522"
"2024-03-26T02:17:01.000000+00:00","116.367","20.523","116.364","20.522"
"2024-03-26T02:17:02.000000+00:00","116.367","20.522","116.364","20.522"
"2024-03-26T02:17:03.000000+00:00","116.367","20.522","116.364","20.522"
"2024-03-26T02:17:04.000000+00:00","116.363","20.522","116.364","20.522"
"2024-03-26T02:17:05.000000+00:00","116.362","20.523","116.364","20.522"
"2024-03-26T02:17:06.000000+00:00","116.363","20.523","116.364","20.522"
"2024-03-26T02:17:07.000000+00:00","116.362","20.522","116.364","20.522"
"2024-03-26T02:17:08.000000+00:00","116.362","20.522","116.364","20.522"
"2024-03-26T02:17:09.000000+00:00","116.362","20.522","116.364","20.522"
"2024-03-26T02:17:10.000000+00:00","116.363","20.522","116.364","20.522"
"2024-03-26T02:17:11.000000+00:00","116.362","20.522","116.364","20.522"
"2024-03-26T02:17:12.000000+00:00","116.362","20.522","116.364","20.522"
"2024-03-26T02:17:13.000000+00:00","116.362","20.522","116.364","20.522"
"2024-03-26T02:17:14.000000+00:00","116.369","20.522","116.364","20.522"
"2024-03-26T02:17:15.000000+00:00","116.368","20.522","116.364","20.522"
"2024-03-26T02:17:16.000000+00:00","116.368","20.522","116.364","20.522"
"2024-03-26T02:17:17.000000+00:00","116.368","20.522","116.364","20.522"
"2024-03-26T02:17:18.000000+00:00","116.368","20.522","116.364","20.522"
"2024-03-26T02:17:19.000000+00:00","116.369","20.522","116.364","20.522"
"2024-03-26T02:17:20.000000+00:00","116.359","20.522","116.364","20.522"
"2024-03-26T02:17:21.000000+00:00","116.356","20.522","116.364","20.522"
"2024-03-26T02:17:22.000000+00:00","116.356","20.522","116.364","20.522"
"2024-03-26T02:17:23.000000+00:00","116.358","20.522","116.364","20.522"
"2024-03-26T02:17:24.000000+00:00","116.371","20.522","116.364","20.522"
"2024-03-26T02:17:25.000000+00:00","116.371","20.522","116.364","20.522"
"2024-03-26T02:17:26.000000+00:00","116.371","20.522","116.364","20.522"
"2024-03-26T02:17:27.000000+00:00","116.371","20.522","116.364","20.522"
"2024-03-26T02:17:28.000000+00:00","116.355","20.522","116.364","20.522"
"2024-03-26T02:17:29.000000+00:00","116.354","20.522","116.364","20.522"
"2024-03-26T02:17:30.000000+00:00","116.354","20.522","116.364","20.522"
"2024-03-26T02:17:31.000000+00:00","116.374","20.522","116.364","20.522"
"2024-03-26T02:17:32.000000+00:00","116.374","20.522","116.364","20.522"
"2024-03-26T02:17:33.000000+00:00","116.374","20.522","116.364","20.522"
"2024-03-26T02:17:34.000000+00:00","116.354","20.522","116.364","20.522"
"2024-03-26T02:17:35.000000+00:00","116.354","20.522","116.364","20.522"
"2024-03-26T02:17:36.000000+00:00","116.354","20.522","116.364","20.522"
"2024-03-26T02:17:37.000000+00:00","116.374","20.522","116.364","20.522"
"2024-03-26T02:17:38.000000+00:00","116.374","20.522","116.364","20.522"
"2024-03-26T02:17:39.000000+00:00","116.374","20.522","116.364","20.522"
"2024-03-26T02:17:40.000000+00:00","116.353","20.522","116.364","20.522"
"2024-03-26T02:17:41.000000+00:00","116.353","20.522","116.364","20.522"
"2024-03-26T02:17:42.000000+00:00","116.354","20.522","116.364","20.522"
"2024-03-26T02:17:43.000000+00:00","116.374","20.523","116.364","20.522"
"2024-03-26T02:17:44.000000+00:00","116.374","20.522","116.364","20.522"
"2024-03-26T02:17:45.000000+00:00","116.374","20.522","116.364","20.522"
"2024-03-26T02:17:46.000000+00:00","116.353","20.522","116.364","20.522"
"2024-03-26T02:17:47.000000+00:00","116.353","20.522","116.364","20.522"
"2024-03-26T02:17:48.000000+00:00","116.354","20.522","116.364","20.522"
"2024-03-26T02:17:49.000000+00:00","116.374","20.522","116.364","20.522"
"2024-03-26T02:17:50.000000+00:00","116.374","20.522","116.364","20.522"
"2024-03-26T02:17:51.000000+00:00","116.373","20.522","116.364","20.522"
"2024-03-26T02:17:52.000000+00:00","116.353","20.522","116.364","20.522"
"2024-03-26T02:17:53.000000+00:00","116.354","20.522","116.364","20.522"
"2024-03-26T02:17:54.000000+00:00","116.372","20.522","116.364","20.522"
"2024-03-26T02:17:55.000000+00:00","116.374","20.522","116.364","20.522"
"2024-03-26T02:17:56.000000+00:00","116.374","20.522","116.364","20.522"
"2024-03-26T02:17:57.000000+00:00","116.374","20.522","116.364","20.522"
"2024-03-26T02:17:58.000000+00:00","116.352","20.522","116.364","20.522"
"2024-03-26T02:18:00.000000+00:00","116.352","20.522","116.364","20.522"
"2024-03-26T02:18:01.000000+00:00","116.374","20.522","116.364","20.522"
"2024-03-26T02:18:02.000000+00:00","116.373","20.522","116.364","20.522"
"2024-03-26T02:18:03.000000+00:00","116.373","20.522","116.364","20.522"
"2024-03-26T02:18:04.000000+00:00","116.355","20.522","116.364","20.522"
"2024-03-26T02:18:05.000000+00:00","116.354","20.522","116.364","20.522"
"2024-03-26T02:18:06.000000+00:00","116.355","20.522","116.364","20.522"
"2024-03-26T02:18:07.000000+00:00","116.373","20.522","116.364","20.522"
"2024-03-26T02:18:08.000000+00:00","116.373","20.522","116.364","20.522"
"2024-03-26T02:18:09.000000+00:00","116.373","20.522","116.364","20.522"
"2024-03-26T02:18:10.000000+00:00","116.373","20.522","116.364","20.522"
"2024-03-26T02:18:11.000000+00:00","116.349","20.522","116.364","20.522"
"2024-03-26T02:18:12.000000+00:00","116.351","20.522","116.364","20.522"
"2024-03-26T02:18:13.000000+00:00","116.374","20.522","116.364","20.522"
"2024-03-26T02:18:14.000000+00:00","116.373","20.523","116.364","20.522"
"2024-03-26T02:18:15.000000+00:00","116.373","20.522","116.364","20.522"
"2024-03-26T02:18:16.000000+00:00","116.352","20.522","116.364","20.522"
"2024-03-26T02:18:17.000000+00:00","116.354","20.522","116.364","20.522"
"2024-03-26T02:18:18.000000+00:00","116.371","20.522","116.364","20.522"
"2024-03-26T02:18:19.000000+00:00","116.374","20.522","116.364","20.522"
"2024-03-26T02:18:20.000000+00:00","116.373","20.522","116.364","20.522"
"2024-03-26T02:18:21.000000+00:00","116.37","20.522","116.364","20.522"
"2024-03-26T02:18:22.000000+00:00","116.356","20.522","116.364","20.522"
"2024-03-26T02:18:23.000000+00:00","116.339","20.522","116.364","20.522"
"2024-03-26T02:18:24.000000+00:00","116.378","20.523","116.364","20.522"
"2024-03-26T02:18:25.000000+00:00","116.372","20.522","116.364","20.522"
