"power","timestamp_float","timestamp_dt","elevation","azimuth"
"-49.65","1707262768.72488","2024-02-06T18:39:28.724880+00:00","",""
"-49.65","1707262768.868688","2024-02-06T18:39:28.868688+00:00","",""
"-49.65","1707262769.018603","2024-02-06T18:39:29.018603+00:00","",""
"-49.65","1707262769.161454","2024-02-06T18:39:29.161454+00:00","",""
"-49.65","1707262769.302052","2024-02-06T18:39:29.302052+00:00","",""
"-49.65","1707262769.450286","2024-02-06T18:39:29.450286+00:00","",""
"-49.65","1707262769.593877","2024-02-06T18:39:29.593877+00:00","",""
"-49.65","1707262769.74081","2024-02-06T18:39:29.740810+00:00","",""
"-49.65","1707262769.883073","2024-02-06T18:39:29.883073+00:00","",""
"-49.65","1707262770.033768","2024-02-06T18:39:30.033768+00:00","",""
"-49.65","1707262770.179274","2024-02-06T18:39:30.179274+00:00","",""
"-49.66","1707262770.316699","2024-02-06T18:39:30.316699+00:00","",""
"-49.66","1707262770.465889","2024-02-06T18:39:30.465889+00:00","",""
"-49.66","1707262770.609963","2024-02-06T18:39:30.609963+00:00","",""
"-49.66","1707262770.757826","2024-02-06T18:39:30.757826+00:00","",""
"-49.66","1707262770.902061","2024-02-06T18:39:30.902061+00:00","",""
"-49.66","1707262771.038729","2024-02-06T18:39:31.038729+00:00","",""
"-49.66","1707262771.192279","2024-02-06T18:39:31.192279+00:00","",""
"-49.66","1707262771.333682","2024-02-06T18:39:31.333682+00:00","",""
"-49.66","1707262771.481642","2024-02-06T18:39:31.481642+00:00","",""
"-49.66","1707262771.626069","2024-02-06T18:39:31.626069+00:00","",""
"-49.66","1707262771.771976","2024-02-06T18:39:31.771976+00:00","",""
"-49.66","1707262771.914792","2024-02-06T18:39:31.914792+00:00","",""
"-49.66","1707262772.059342","2024-02-06T18:39:32.059342+00:00","",""
"-49.66","1707262772.197697","2024-02-06T18:39:32.197697+00:00","",""
"-49.66","1707262772.350391","2024-02-06T18:39:32.350391+00:00","",""
"-49.66","1707262772.493989","2024-02-06T18:39:32.493989+00:00","",""
"-49.66","1707262772.637551","2024-02-06T18:39:32.637551+00:00","",""
"-49.66","1707262772.780458","2024-02-06T18:39:32.780458+00:00","",""
"-49.66","1707262772.930655","2024-02-06T18:39:32.930655+00:00","",""
"-49.66","1707262773.06883","2024-02-06T18:39:33.068830+00:00","",""
"-49.66","1707262773.213888","2024-02-06T18:39:33.213888+00:00","",""
"-49.66","1707262773.364575","2024-02-06T18:39:33.364575+00:00","",""
"-49.66","1707262773.507221","2024-02-06T18:39:33.507221+00:00","",""
"-49.66","1707262773.646162","2024-02-06T18:39:33.646162+00:00","",""
"-49.66","1707262773.797836","2024-02-06T18:39:33.797836+00:00","",""
"-49.66","1707262773.939478","2024-02-06T18:39:33.939478+00:00","",""
"-49.66","1707262774.085494","2024-02-06T18:39:34.085494+00:00","",""
"-49.66","1707262774.23418","2024-02-06T18:39:34.234180+00:00","",""
"-49.66","1707262774.378288","2024-02-06T18:39:34.378288+00:00","",""
"-49.66","1707262774.522075","2024-02-06T18:39:34.522075+00:00","",""
"-49.66","1707262774.663312","2024-02-06T18:39:34.663312+00:00","",""
"-49.66","1707262774.811024","2024-02-06T18:39:34.811024+00:00","",""
"-49.66","1707262774.958194","2024-02-06T18:39:34.958194+00:00","",""
"-49.66","1707262775.09474","2024-02-06T18:39:35.094740+00:00","",""
"-49.67","1707262775.243833","2024-02-06T18:39:35.243833+00:00","",""
"-49.67","1707262775.383243","2024-02-06T18:39:35.383243+00:00","",""
"-49.67","1707262775.536393","2024-02-06T18:39:35.536393+00:00","",""
"-49.67","1707262775.676143","2024-02-06T18:39:35.676143+00:00","",""
"-49.67","1707262775.820113","2024-02-06T18:39:35.820113+00:00","",""
"-49.67","1707262775.968922","2024-02-06T18:39:35.968922+00:00","",""
"-49.67","1707262776.108615","2024-02-06T18:39:36.108615+00:00","",""
"-49.67","1707262776.252617","2024-02-06T18:39:36.252617+00:00","",""
"-49.67","1707262776.399157","2024-02-06T18:39:36.399157+00:00","",""
"-49.67","1707262776.544219","2024-02-06T18:39:36.544219+00:00","",""
"-49.67","1707262776.692536","2024-02-06T18:39:36.692536+00:00","",""
"-49.67","1707262776.837769","2024-02-06T18:39:36.837769+00:00","",""
"-49.67","1707262776.985942","2024-02-06T18:39:36.985942+00:00","",""
"-49.67","1707262777.124702","2024-02-06T18:39:37.124702+00:00","",""
"-49.67","1707262777.26883","2024-02-06T18:39:37.268830+00:00","",""
"-49.67","1707262777.414725","2024-02-06T18:39:37.414725+00:00","",""
"-49.67","1707262777.560067","2024-02-06T18:39:37.560067+00:00","",""
"-49.67","1707262777.701327","2024-02-06T18:39:37.701327+00:00","",""
"-49.67","1707262777.847668","2024-02-06T18:39:37.847668+00:00","",""
"-49.67","1707262777.990452","2024-02-06T18:39:37.990452+00:00","",""
"-49.67","1707262778.142731","2024-02-06T18:39:38.142731+00:00","",""
"-49.67","1707262778.286134","2024-02-06T18:39:38.286134+00:00","",""
"-49.67","1707262778.427219","2024-02-06T18:39:38.427219+00:00","",""
"-49.67","1707262778.573721","2024-02-06T18:39:38.573721+00:00","",""
"-49.67","1707262778.722162","2024-02-06T18:39:38.722162+00:00","",""
"-49.67","1707262778.867917","2024-02-06T18:39:38.867917+00:00","",""
"-49.67","1707262779.008558","2024-02-06T18:39:39.008558+00:00","",""
"-49.67","1707262779.156689","2024-02-06T18:39:39.156689+00:00","",""
"-49.67","1707262779.299466","2024-02-06T18:39:39.299466+00:00","",""
"-49.67","1707262779.439048","2024-02-06T18:39:39.439048+00:00","",""
"-49.67","1707262779.588869","2024-02-06T18:39:39.588869+00:00","",""
"-49.67","1707262779.735106","2024-02-06T18:39:39.735106+00:00","",""
"-49.67","1707262779.872577","2024-02-06T18:39:39.872577+00:00","",""
"-49.67","1707262780.021175","2024-02-06T18:39:40.021175+00:00","",""
"-49.67","1707262780.166111","2024-02-06T18:39:40.166111+00:00","",""
"-49.67","1707262780.314602","2024-02-06T18:39:40.314602+00:00","",""
"-49.67","1707262780.454752","2024-02-06T18:39:40.454752+00:00","",""
"-49.67","1707262780.603839","2024-02-06T18:39:40.603839+00:00","",""
"-49.67","1707262780.747478","2024-02-06T18:39:40.747478+00:00","",""
"-49.68","1707262780.887756","2024-02-06T18:39:40.887756+00:00","",""
"-49.67","1707262781.037914","2024-02-06T18:39:41.037914+00:00","",""
"-49.67","1707262781.180264","2024-02-06T18:39:41.180264+00:00","",""
"-49.67","1707262781.322912","2024-02-06T18:39:41.322912+00:00","",""
"-49.68","1707262781.469876","2024-02-06T18:39:41.469876+00:00","",""
"-49.68","1707262781.619419","2024-02-06T18:39:41.619419+00:00","",""
"-49.68","1707262781.764228","2024-02-06T18:39:41.764228+00:00","",""
"-49.68","1707262781.904876","2024-02-06T18:39:41.904876+00:00","",""
"-49.67","1707262782.045797","2024-02-06T18:39:42.045797+00:00","",""
"-49.67","1707262782.192792","2024-02-06T18:39:42.192792+00:00","",""
"-49.67","1707262782.33586","2024-02-06T18:39:42.335860+00:00","",""
"-49.68","1707262782.487726","2024-02-06T18:39:42.487726+00:00","",""
"-49.67","1707262782.628962","2024-02-06T18:39:42.628962+00:00","",""
"-49.68","1707262782.778583","2024-02-06T18:39:42.778583+00:00","",""
"-49.68","1707262782.922693","2024-02-06T18:39:42.922693+00:00","",""
"-49.68","1707262783.062372","2024-02-06T18:39:43.062372+00:00","",""
"-49.67","1707262783.209043","2024-02-06T18:39:43.209043+00:00","",""
"-49.67","1707262783.357239","2024-02-06T18:39:43.357239+00:00","",""
"-49.67","1707262783.501973","2024-02-06T18:39:43.501973+00:00","",""
"-49.67","1707262783.645064","2024-02-06T18:39:43.645064+00:00","",""
"-49.67","1707262783.78403","2024-02-06T18:39:43.784030+00:00","",""
"-49.67","1707262783.933484","2024-02-06T18:39:43.933484+00:00","",""
